#Tag , Name                                       , Purpose
A    , xclip(xsel)                                , X11 clipboard
A    , alacritty                                  , gpu-accelerated terminal emulator
A    , xcompmgr                                   , Composite Window-effects manager for X.org
A    , rofi                                       , a application launcher
A    , rofi-calc                                  , do calculations in rofi
A    , xwallpaper                                 , set wallpaper
A    , dunst                                      , notification daemon
A    , sxhkd                                      , keymap daemon
A    , xcape                                      , required by `remaps` script
A    , tealdeer                                   , fast tldr(help)
A    , duf                                        , `df` replacement
A    , htop                                       , `top` replacement
A    , jq                                         , Command-line JSON processor
A    , zoxide                                     , `cd` replacement and smarter
A    , tokei                                      , count line of code
A    , fzf                                        , fuzzy finder
A    , ripgrep                                    , `grep` replacement
A    , fd                                         , `find` replacement
A    , firefox                                    , web browser
A    , clipmenu                                   , demnu based clipboard management(simple but ok)
A    , aria2                                      , command line download tool
A    , mediainfo                                  , check video and audio information
A    , xdg-utils                                  , provide `xdg-open` and required by `lf my_script`
A    , sxiv                                       , simple image viewer
A    , imagemagick/ImageMagick                    , `display` command required by `lf`
A    , flameshot                                  , simple buf powerful screenshot
A    , maim                                       , more simple screenshot
A    , xdotool                                    , required by `lf my_script`
A    , gcolor2                                    , pick colors tool
A    , mpv                                        , video player
A    , ffmpeg                                     , video and audio handler
A    , words/words-en                             , english word dictionary(/usr/share/dict) for vim complete
A    , x11-ssh-askpass                            , NOTICE: must installed
A    , gnome-keyring                              , NOTICE: must installed
A    , seahorse                                   , gui gnome-keyring manager
B    , lynx                                       , terminal web browser
B    , filezilla                                  , ftp gui client
B    , unclutter                                  , hiding mouse cursor
B    , cbatticon                                  , A lightweight and fast battery icon that sits in your system tray
B    , lxappearance                               , lxde gtk+ theme switcher(independent)
B    , breeze-gtk                                 , gtk* theme
B    , breeze-icons                               , gtk icons
B    , https://github.com/ful1e5/Bibata_Cursor    , cursor theme
B    , kvantum(KvSimplicityDark)                  , qt5/6 theme switcher
B    , qt5ct(qt6ct)                               , required by `kvantum`
B    , valgrind                                   , memory lack analyzer
B    , android-file-transfer                      , Android MTP client with minimalistic UI
B    , ffmpegthumbnailer                          , required by lf
C    , pv                                         , A terminal-based tool for monitoring the progress of data through a pipeline
C    , dictd                                      , Online dictionary client and server
C    , pcmanfm                                    , gui file manager
C    , testdisk                                   , Checks and undeletes partitions + PhotoRec signature based recovery tool
C    , dos2unix                                   , Text file format converter
C    , traceroute                                 , Tracks the route taken by packets over an IP network
C    , webcamoid                                  , Webcamoid is a full featured webcam capture application.
C    , cpdf                                       , command line tool for pdf
D    , downgrade                                  , downgrading one or more packages to a version in archlinux
D    , pacman-contrib                             , some tools such as `paclist` `pactree`
D    , calibre                                    , ebook library
D    , https://github.com/noDRM/DeDRM_tools       , calibre plugin that remove kindle DRM
D    , gimp                                       , GNU Image Manipulation Program
